ID_ESCOLA;REDE;VL_OBSERVADO_2023
11000910;Estadual;
11000937;Estadual;
11000970;Estadual;
11001003;Municipal;4.7
11001011;Municipal;4.5
11001038;Municipal;4.9
11001097;Estadual;6.4
11001119;Estadual;
11001135;Estadual;
11001143;Estadual;4.7
11001160;Estadual;4.5
11001178;Estadual;
11001186;Municipal;4.7
11001240;Estadual;
11001267;Municipal;
11001275;Municipal;5.7
11001305;Estadual;
11001313;Municipal;6.1
11001364;Estadual;
11001410;Estadual;5.8
11001445;Municipal;4.6
11001461;Municipal;4.1
11001496;Estadual;
11001526;Estadual;
11001640;Estadual;
11001658;Municipal;5.3
11001666;Municipal;5.9
11001712;Estadual;5.6
11001810;Estadual;5.3
11001828;Municipal;5.7
11001844;Estadual;6.4
11001887;Estadual;
11001909;Estadual;
11001950;Municipal;
11001968;Municipal;5.2
11001992;Estadual;
11002000;Estadual;
11002018;Estadual;
11002042;Municipal;5.0
11002085;Municipal;5.1
11002093;Municipal;5.6
11002158;Municipal;4.7
11002166;Estadual;
11002255;Estadual;
11002280;Municipal;6.0
11002301;Estadual;
11002310;Municipal;5.4
11002328;Estadual;
11002441;Estadual;
11002468;Estadual;
11002476;Estadual;
11002514;Estadual;
11002522;Estadual;
11002778;Municipal;5.9
11002883;Municipal;5.1
11002956;Municipal;5.6
11002999;Municipal;5.3
11003065;Estadual;
11003138;Municipal;5.1
11003154;Estadual;7.2
11003162;Estadual;
11003197;Estadual;5.5
11003200;Estadual;6.2
11003308;Municipal;4.5
11003324;Municipal;3.4
11003383;Municipal;3.9
11003391;Municipal;
11003413;Estadual;
11003693;Municipal;4.9
11003812;Estadual;
11037482;Municipal;4.6
11037512;Municipal;4.9
11037598;Municipal;
11037636;Municipal;6.2
11037644;Municipal;5.6
11037652;Municipal;4.4
11037865;Municipal;5.5
11037881;Municipal;4.5
11037903;Estadual;
11038063;Estadual;
11040440;Municipal;4.5
11040556;Municipal;5.5
11040629;Estadual;
11040920;Municipal;5.2
11041064;Municipal;5.1
11042559;Estadual;
11043989;Municipal;4.6
11043997;Municipal;
11045167;Municipal;4.8
11045175;Municipal;6.4
11045825;Municipal;3.1
11045868;Municipal;5.5
11045892;Municipal;4.8
11046651;Municipal;
11046660;Municipal;3.2
11046937;Estadual;
11047682;Municipal;6.5
11047739;Municipal;5.1
11047780;Municipal;4.3
11047925;Municipal;4.7
11047933;Municipal;
11048280;Municipal;4.6
11048298;Municipal;5.0
11048310;Municipal;5.5
11048450;Estadual;
11048484;Municipal;5.8
11048492;Municipal;5.7
11048506;Municipal;5.0
11048530;Municipal;5.9
11048875;Municipal;6.5
11048883;Municipal;5.2
11049146;Municipal;6.1
11049162;Municipal;5.4
11049170;Municipal;4.5
11049332;Municipal;5.5
11050748;Municipal;4.5
11050780;Estadual;5.3
11055600;Estadual;5.2
11117800;Municipal;5.3
11117834;Municipal;
11118814;Municipal;4.6
11120819;Municipal;7.1
11015110;Municipal;5.4
11017872;Municipal;5.4
