CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1301001;Pública;4.2
1301100;Estadual;5.3
1301100;Municipal;4.2
1301100;Pública;4.8
1301159;Estadual;4.7
1301159;Municipal;3.5
1301159;Pública;4.2
1301209;Estadual;4.1
1301209;Municipal;3.5
1301209;Pública;3.8
1301308;Estadual;4.3
1301308;Municipal;
1301308;Pública;4.2
1301407;Estadual;3.8
1301407;Municipal;
1301407;Pública;3.8
1301506;Estadual;4.3
1301506;Municipal;2.3
1301506;Pública;3.5
1301605;Estadual;4.2
1301605;Municipal;3.0
1301605;Pública;3.5
1301654;Estadual;3.8
1301654;Pública;3.8
1301704;Estadual;4.5
1301704;Municipal;4.6
1301704;Pública;4.6
1301803;Estadual;3.5
1301803;Municipal;
1301803;Pública;3.5
1301852;Estadual;4.7
1301852;Municipal;3.8
1301852;Pública;4.2
1301902;Estadual;5.2
1301902;Municipal;3.9
1301902;Pública;4.7
1301951;Estadual;4.6
1301951;Municipal;2.4
1301951;Pública;3.6
1302009;Estadual;5.7
1302009;Municipal;4.0
1302009;Pública;5.0
1302108;Estadual;4.8
1302108;Municipal;
1302108;Pública;4.3
1302207;Estadual;3.8
1302207;Municipal;
1302207;Pública;3.0
1302306;Estadual;3.9
1302306;Municipal;2.8
1302306;Pública;3.3
1302405;Estadual;4.5
1302405;Municipal;3.2
1302405;Pública;3.9
1302504;Estadual;5.1
1302504;Municipal;4.5
1302504;Pública;4.9
1302553;Estadual;4.5
1302553;Municipal;4.0
1302553;Pública;4.1
1302603;Federal;
1302603;Estadual;5.1
1302603;Municipal;5.2
1302603;Pública;5.1
1302702;Estadual;4.9
1302702;Municipal;4.3
1302702;Pública;4.6
1302801;Estadual;3.3
1302801;Municipal;3.1
1302801;Pública;3.2
1302900;Estadual;4.9
1302900;Municipal;3.7
1302900;Pública;4.2
1303007;Estadual;5.1
1303007;Municipal;3.8
1303007;Pública;4.6
1303106;Estadual;4.5
1303106;Municipal;4.4
1303106;Pública;4.5
1303205;Estadual;5.2
1303205;Municipal;4.7
1303205;Pública;4.9
1303304;Estadual;4.2
1303304;Municipal;
1303304;Pública;3.8
1303403;Estadual;5.2
1303403;Municipal;4.3
1303403;Pública;4.8
1303502;Estadual;4.0
1303502;Pública;4.0
1303536;Estadual;4.9
1303536;Municipal;4.5
1303536;Pública;4.6
1303569;Estadual;4.3
1303569;Municipal;4.5
1303569;Pública;4.5
1303601;Estadual;4.9
1303601;Municipal;4.1
1303601;Pública;4.5
1303700;Estadual;3.9
1303700;Municipal;
1303700;Pública;3.9
1303809;Estadual;4.1
1303809;Municipal;3.3
1303809;Pública;3.9
1303908;Estadual;4.3
1303908;Municipal;4.0
1303908;Pública;4.3
1303957;Estadual;4.8
1303957;Municipal;4.9
1303957;Pública;4.8
1304005;Estadual;5.1
1304005;Municipal;4.3
1304005;Pública;4.5
1304062;Estadual;4.8
1304062;Municipal;4.3
1304062;Pública;4.6
1304104;Estadual;5.1
1304104;Municipal;4.4
1304104;Pública;4.8
1304203;Estadual;4.6
1304203;Municipal;3.9
1304203;Pública;4.3
1304237;Estadual;4.4
1304237;Municipal;3.7
1304237;Pública;3.9
1304260;Estadual;3.2
1304260;Municipal;2.9
1304260;Pública;3.0
1304302;Estadual;4.9
1304302;Municipal;4.1
1304302;Pública;4.6
1304401;Estadual;4.3
1304401;Municipal;4.2
1304401;Pública;4.3
1400027;Estadual;3.2
1400027;Municipal;
1400027;Pública;3.2
1400050;Estadual;3.7
1400050;Municipal;
1400050;Pública;3.7
1400100;Federal;5.4
1400100;Estadual;4.4
1400100;Municipal;
1400100;Pública;4.4
1400159;Estadual;4.0
1400159;Municipal;3.8
1400159;Pública;3.8
1400175;Estadual;3.5
1400175;Pública;3.5
1400209;Estadual;4.1
1400209;Municipal;
1400209;Pública;4.1
1400233;Estadual;
1400233;Pública;
1400282;Estadual;
1400282;Municipal;
1400282;Pública;
1400308;Estadual;4.1
1400308;Pública;4.1
1400407;Estadual;3.5
1400407;Pública;3.5
1400456;Estadual;
1400456;Municipal;
1400456;Pública;
1400472;Estadual;4.2
1400472;Municipal;
1400472;Pública;4.2
1400506;Estadual;3.6
1400506;Municipal;
1400506;Pública;3.7
1400605;Estadual;4.2
1400605;Municipal;3.5
1400605;Pública;3.8
1400704;Estadual;
1400704;Municipal;
1400704;Pública;
1500107;Estadual;4.6
1500107;Pública;4.5
1500131;Municipal;3.8
1500131;Pública;3.8
1500206;Municipal;3.5
1500206;Pública;3.5
1500305;Municipal;3.0
1500305;Pública;3.0
1500347;Municipal;3.8
1500347;Pública;3.8
1500404;Estadual;4.6
