CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1300839;Pública;4.4
1300904;Estadual;4.7
1300904;Municipal;3.4
1300904;Pública;3.6
1301001;Estadual;5.7
1301001;Municipal;4.5
1301001;Pública;4.9
1301100;Estadual;5.8
1301100;Municipal;4.3
1301100;Pública;4.9
1301159;Estadual;4.5
1301159;Municipal;4.3
1301159;Pública;4.3
1301209;Estadual;5.4
1301209;Municipal;4.2
1301209;Pública;4.8
1301308;Estadual;4.9
1301308;Municipal;4.6
1301308;Pública;4.7
1301407;Estadual;5.0
1301407;Municipal;3.8
1301407;Pública;4.3
1301506;Estadual;5.9
1301506;Municipal;3.0
1301506;Pública;4.2
1301605;Estadual;5.3
1301605;Municipal;3.5
1301605;Pública;3.9
1301654;Municipal;4.1
1301654;Pública;4.1
1301704;Estadual;5.6
1301704;Municipal;5.4
1301704;Pública;5.5
1301803;Estadual;4.8
1301803;Municipal;3.8
1301803;Pública;3.9
1301852;Estadual;
1301852;Municipal;4.8
1301852;Pública;4.8
1301902;Estadual;7.6
1301902;Municipal;5.0
1301902;Pública;5.6
1301951;Estadual;6.4
1301951;Municipal;4.9
1301951;Pública;5.7
1302009;Estadual;5.4
1302009;Municipal;3.8
1302009;Pública;4.6
1302108;Estadual;6.4
1302108;Municipal;4.4
1302108;Pública;4.7
1302207;Estadual;4.1
1302207;Municipal;3.4
1302207;Pública;3.6
1302306;Estadual;5.7
1302306;Municipal;3.8
1302306;Pública;4.2
1302405;Estadual;5.8
1302405;Municipal;4.5
1302405;Pública;4.9
1302504;Estadual;5.6
1302504;Municipal;5.0
1302504;Pública;5.2
1302553;Estadual;4.8
1302553;Municipal;2.5
1302553;Pública;2.9
1302603;Estadual;6.3
1302603;Municipal;6.2
1302603;Pública;6.2
1302702;Estadual;5.8
1302702;Municipal;4.7
1302702;Pública;5.1
1302801;Estadual;4.2
1302801;Municipal;3.8
1302801;Pública;3.9
1302900;Estadual;5.8
1302900;Municipal;4.8
1302900;Pública;5.2
1303007;Estadual;5.7
1303007;Municipal;4.9
1303007;Pública;5.4
1303106;Estadual;5.0
1303106;Municipal;4.7
1303106;Pública;4.9
1303205;Estadual;6.2
1303205;Municipal;5.5
1303205;Pública;5.7
1303304;Estadual;5.5
1303304;Municipal;4.9
1303304;Pública;5.2
1303403;Estadual;6.9
1303403;Municipal;5.0
1303403;Pública;5.9
1303502;Estadual;
1303502;Municipal;3.5
1303502;Pública;3.5
1303536;Estadual;
1303536;Municipal;4.9
1303536;Pública;4.9
1303569;Estadual;
1303569;Municipal;5.0
1303569;Pública;5.0
1303601;Estadual;5.0
1303601;Municipal;4.0
1303601;Pública;4.6
1303700;Estadual;5.8
1303700;Municipal;4.7
1303700;Pública;4.9
1303809;Estadual;4.6
1303809;Municipal;
1303809;Pública;4.4
1303908;Estadual;5.2
1303908;Municipal;3.8
1303908;Pública;4.4
1303957;Estadual;5.5
1303957;Municipal;5.0
1303957;Pública;5.2
1304005;Estadual;6.1
1304005;Municipal;4.1
1304005;Pública;4.3
1304062;Estadual;5.3
1304062;Municipal;4.6
1304062;Pública;4.8
1304104;Estadual;4.9
1304104;Municipal;5.1
1304104;Pública;5.0
1304203;Estadual;5.7
1304203;Municipal;4.4
1304203;Pública;4.9
1304237;Estadual;4.8
1304237;Municipal;3.7
1304237;Pública;3.8
1304260;Estadual;4.8
1304260;Municipal;3.5
1304260;Pública;3.8
1304302;Estadual;6.9
1304302;Municipal;4.8
1304302;Pública;5.1
1304401;Estadual;4.6
1304401;Municipal;4.1
1304401;Pública;4.3
1400027;Estadual;
1400027;Municipal;4.8
1400027;Pública;4.6
1400050;Estadual;
1400050;Municipal;4.6
1400050;Pública;4.5
1400100;Federal;6.4
1400100;Estadual;
1400100;Municipal;5.7
1400100;Pública;5.7
1400159;Estadual;
1400159;Municipal;4.7
1400159;Pública;4.7
1400175;Estadual;
1400175;Municipal;4.6
1400175;Pública;4.7
1400209;Estadual;
1400209;Municipal;4.4
1400209;Pública;4.4
1400233;Estadual;
1400233;Municipal;4.9
1400233;Pública;4.9
1400282;Estadual;
1400282;Municipal;4.3
1400282;Pública;4.3
1400308;Estadual;
1400308;Municipal;4.4
1400308;Pública;4.4
1400407;Estadual;
1400407;Municipal;4.7
1400407;Pública;4.6
1400456;Estadual;
1400456;Municipal;
1400456;Pública;
1400472;Estadual;
1400472;Municipal;4.4
1400472;Pública;4.4
1400506;Estadual;
1400506;Municipal;4.5
1400506;Pública;4.6
1400605;Estadual;
1400605;Municipal;4.6
1400605;Pública;4.6
1400704;Estadual;
1400704;Municipal;
1400704;Pública;
1500107;Municipal;4.4
1500107;Pública;4.4
1500131;Municipal;5.3
1500131;Pública;5.3
1500206;Municipal;4.3
1500206;Pública;4.3
1500305;Municipal;3.7
1500305;Pública;3.7
1500347;Municipal;4.7
1500347;Pública;4.7
1500404;Estadual;5.3
1500404;Municipal;4.1
1500404;Pública;4.2
1500503;Municipal;3.7
1500503;Pública;3.7
1500602;Municipal;5.1
1500602;Pública;5.1
1500701;Estadual;
1500701;Municipal;3.7
1500701;Pública;3.7
1500800;Estadual;5.6
1500800;Municipal;6.1
1500800;Pública;5.9
1500859;Municipal;4.5
1500859;Pública;4.5
1500909;Municipal;4.2
1500909;Pública;4.2
1500958;Estadual;
1500958;Municipal;5.1
1500958;Pública;5.1
1501006;Municipal;4.9
1501006;Pública;4.9
1501105;Municipal;3.7
1501105;Pública;3.7
1501204;Municipal;3.9
1501204;Pública;3.9
1501253;Municipal;
1501253;Pública;
1501303;Estadual;
1501303;Municipal;4.5
1501303;Pública;4.5
1501402;Federal;6.6
1501402;Estadual;5.7
1501402;Municipal;5.0
1501402;Pública;5.4
1501451;Municipal;5.0
1501451;Pública;5.0
1501501;Estadual;7.1
1501501;Municipal;6.5
1501501;Pública;6.6
1501576;Estadual;
1501576;Municipal;4.9
1501576;Pública;4.9
1501600;Estadual;
1501600;Municipal;4.3
1501600;Pública;4.3
1501709;Estadual;5.5
1501709;Municipal;4.4
1501709;Pública;4.6
1501725;Municipal;5.4
1501725;Pública;5.4
1501758;Municipal;5.7
1501758;Pública;5.7
1501782;Municipal;4.6
1501782;Pública;4.6
1501808;Municipal;3.7
1501808;Pública;3.7
1501907;Municipal;4.8
1501907;Pública;4.8
1501956;Estadual;
1501956;Municipal;4.8
1501956;Pública;4.8
1502004;Estadual;5.2
1502004;Municipal;4.4
1502004;Pública;4.5
1502103;Municipal;4.1
1502103;Pública;4.1
1502152;Municipal;5.2
1502152;Pública;5.2
1502202;Estadual;4.9
1502202;Municipal;5.8
1502202;Pública;5.8
1502301;Estadual;4.4
1502301;Municipal;5.2
1502301;Pública;5.1
1502400;Estadual;5.0
1502400;Municipal;4.6
1502400;Pública;4.6
1502509;Municipal;3.0
1502509;Pública;3.0
1502608;Estadual;
1502608;Municipal;4.7
1502608;Pública;4.7
