CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1303304;Estadual;3.3
1303304;Pública;3.3
1303403;Estadual;3.8
1303403;Federal;
1303403;Pública;3.9
1303502;Estadual;3.2
1303502;Pública;3.2
1303536;Estadual;3.3
1303536;Federal;
1303536;Pública;3.6
1303569;Estadual;3.3
1303569;Pública;3.3
1303601;Estadual;3.2
1303601;Pública;3.2
1303700;Estadual;2.9
1303700;Pública;2.9
1303809;Estadual;
1303809;Federal;
1303809;Pública;
1303908;Estadual;2.8
1303908;Pública;2.8
1303957;Estadual;3.4
1303957;Pública;3.4
1304005;Estadual;3.4
1304005;Pública;3.4
1304062;Estadual;2.8
1304062;Federal;
1304062;Pública;3.0
1304104;Estadual;3.5
1304104;Pública;3.5
1304203;Estadual;3.2
1304203;Federal;
1304203;Pública;3.3
1304237;Estadual;3.0
1304237;Pública;3.0
1304260;Estadual;2.7
1304260;Pública;2.7
1304302;Estadual;3.5
1304302;Pública;3.5
1304401;Estadual;3.4
1304401;Pública;3.4
1400027;Estadual;2.6
1400027;Federal;3.6
1400027;Pública;2.9
1400050;Estadual;3.4
1400050;Pública;3.4
1400100;Estadual;3.6
1400100;Federal;4.8
1400100;Pública;3.7
1400159;Estadual;3.1
1400159;Pública;3.1
1400175;Estadual;3.1
1400175;Pública;3.1
1400209;Estadual;3.7
1400209;Federal;
1400209;Pública;3.8
1400233;Estadual;
1400233;Pública;
1400282;Estadual;3.6
1400282;Pública;3.6
1400308;Estadual;3.8
1400308;Pública;3.8
1400407;Estadual;2.9
1400407;Pública;2.9
1400456;Estadual;3.4
1400456;Pública;3.4
1400472;Estadual;3.4
1400472;Pública;3.4
1400506;Estadual;2.8
1400506;Pública;2.8
1400605;Estadual;
1400605;Pública;
1400704;Estadual;2.7
1400704;Pública;2.7
1500107;Estadual;4.1
1500107;Federal;
1500107;Pública;4.2
1500131;Estadual;3.9
1500131;Pública;3.9
1500206;Estadual;3.7
1500206;Pública;3.7
1500305;Estadual;4.0
1500305;Pública;4.0
1500347;Estadual;4.3
1500347;Pública;4.3
1500404;Estadual;3.9
1500404;Pública;3.9
1500503;Estadual;3.8
1500503;Pública;3.8
1500602;Estadual;4.7
1500602;Federal;
1500602;Pública;4.7
1500701;Estadual;3.4
1500701;Pública;3.4
1500800;Estadual;4.4
1500800;Federal;
1500800;Pública;4.4
1500859;Estadual;4.2
1500859;Pública;4.2
1500909;Estadual;3.9
1500909;Pública;3.9
1500958;Estadual;4.1
1500958;Pública;4.1
1501006;Estadual;3.5
1501006;Pública;3.5
1501105;Estadual;3.6
1501105;Pública;3.6
1501204;Estadual;3.7
1501204;Pública;3.7
1501253;Estadual;3.5
1501253;Pública;3.5
1501303;Estadual;4.2
1501303;Pública;4.2
1501402;Estadual;4.4
1501402;Federal;5.3
1501402;Municipal;4.5
1501402;Pública;4.5
1501451;Estadual;4.1
1501451;Pública;4.1
1501501;Estadual;4.5
1501501;Pública;4.5
1501576;Estadual;4.6
1501576;Pública;4.6
1501600;Estadual;3.6
1501600;Pública;3.6
1501709;Estadual;3.9
1501709;Federal;4.3
1501709;Pública;4.0
1501725;Estadual;4.5
1501725;Pública;4.5
1501758;Estadual;3.6
1501758;Pública;3.6
1501782;Estadual;4.0
1501782;Pública;4.0
1501808;Estadual;4.2
1501808;Federal;
1501808;Pública;4.2
1501907;Estadual;3.6
1501907;Pública;3.6
1501956;Estadual;3.4
1501956;Pública;3.4
1502004;Estadual;4.0
1502004;Pública;4.0
1502103;Estadual;4.0
1502103;Federal;
1502103;Pública;4.0
1502152;Estadual;4.1
1502152;Pública;4.1
1502202;Estadual;4.3
1502202;Pública;4.3
1502301;Estadual;4.2
1502301;Pública;4.2
1502400;Estadual;4.4
1502400;Federal;
1502400;Pública;4.5
1502509;Estadual;3.6
1502509;Pública;3.6
1502608;Estadual;3.9
1502608;Pública;3.9
1502707;Estadual;3.7
1502707;Federal;
1502707;Pública;3.8
1502756;Estadual;3.6
1502756;Pública;3.6
1502764;Estadual;3.5
1502764;Pública;3.5
1502772;Estadual;3.8
1502772;Pública;3.8
1502806;Estadual;3.6
1502806;Pública;3.6
1502855;Estadual;3.8
1502855;Pública;3.8
1502905;Estadual;4.0
1502905;Pública;4.0
1502939;Estadual;4.4
1502939;Pública;4.4
1502954;Estadual;4.0
1502954;Pública;4.0
1503002;Estadual;3.7
1503002;Pública;3.7
1503044;Estadual;3.8
1503044;Pública;3.8
1503077;Estadual;4.2
1503077;Pública;4.2
1503093;Estadual;4.3
1503093;Pública;4.3
1503101;Estadual;4.0
1503101;Pública;4.0
1503200;Estadual;3.9
1503200;Pública;3.9
1503309;Estadual;4.0
1503309;Pública;4.0
1503408;Estadual;3.8
1503408;Pública;3.8
1503457;Estadual;3.9
1503457;Pública;3.9
1503507;Estadual;4.2
1503507;Pública;4.2
1503606;Estadual;4.3
1503606;Federal;
1503606;Pública;4.2
1503705;Estadual;3.9
1503705;Pública;3.9
1503754;Estadual;
1503754;Pública;
1503804;Estadual;4.1
1503804;Pública;4.1
1503903;Estadual;3.8
1503903;Pública;3.8
1504000;Estadual;3.7
1504000;Pública;3.7
1504059;Estadual;4.3
1504059;Pública;4.3
1504109;Estadual;3.4
1504109;Pública;3.4
1504208;Estadual;4.2
1504208;Federal;4.8
1504208;Pública;4.3
1504307;Estadual;3.5
1504307;Pública;3.5
1504406;Estadual;3.7
1504406;Pública;3.7
1504422;Estadual;4.6
1504422;Pública;4.6
1504455;Estadual;4.3
1504455;Pública;4.3
1504505;Estadual;3.6
1504505;Pública;3.6
1504604;Estadual;3.9
1504604;Pública;3.9
1504703;Estadual;3.4
1504703;Pública;3.4
1504752;Estadual;4.0
1504752;Pública;4.0
1504802;Estadual;4.1
1504802;Pública;4.1
1504901;Estadual;3.6
1504901;Pública;3.6
1504950;Estadual;4.1
1504950;Pública;4.1
1504976;Estadual;4.1
1504976;Pública;4.1
1505007;Estadual;3.9
1505007;Pública;3.9
1505031;Estadual;4.9
1505031;Pública;4.9
1505064;Estadual;4.1
1505064;Pública;4.1
1505106;Estadual;4.0
1505106;Federal;5.0
1505106;Pública;4.1
1505205;Estadual;4.0
1505205;Pública;4.0
1505304;Estadual;4.3
1505304;Pública;4.3
1505403;Estadual;4.4
1505403;Pública;4.4
1505437;Estadual;4.1
1505437;Pública;4.1
1505486;Estadual;4.0
1505486;Municipal;
1505486;Pública;4.0
1505494;Estadual;3.8
1505494;Pública;3.8
1505502;Estadual;4.3
1505502;Federal;4.8
1505502;Pública;4.4
1505536;Estadual;4.3
1505536;Federal;
1505536;Pública;4.4
1505551;Estadual;4.0
1505551;Pública;4.0
1505601;Estadual;3.9
1505601;Pública;3.9
1505635;Estadual;3.9
1505635;Pública;3.9
1505650;Estadual;3.9
1505650;Pública;3.9
1505700;Estadual;4.0
1505700;Pública;4.0
1505809;Estadual;4.2
1505809;Pública;4.2
1505908;Estadual;4.6
1505908;Pública;4.6
1506005;Estadual;3.7
1506005;Pública;3.7
1506104;Estadual;4.0
1506104;Pública;4.0
1506112;Estadual;3.9
1506112;Pública;3.9
1506138;Estadual;4.4
1506138;Pública;4.4
1506161;Estadual;4.3
1506161;Pública;4.3
1506187;Estadual;4.5
1506187;Pública;4.5
1506195;Estadual;4.5
1506195;Pública;4.5
1506203;Estadual;4.2
1506203;Pública;4.2
1506302;Estadual;4.3
1506302;Pública;4.3
1506351;Estadual;4.3
1506351;Pública;4.3
1506401;Estadual;3.7
1506401;Pública;3.7
1506500;Estadual;4.2
1506500;Pública;4.2
1506559;Estadual;4.1
1506559;Pública;4.1
1506583;Estadual;3.4
1506583;Pública;3.4
1506609;Estadual;4.5
1506609;Pública;4.5
1506708;Estadual;3.7
1506708;Pública;3.7
1506807;Estadual;4.3
1506807;Federal;
1506807;Pública;4.4
1506906;Estadual;4.0
1506906;Pública;4.0
1507003;Estadual;3.7
1507003;Pública;3.7
1507102;Estadual;3.8
1507102;Pública;3.8
1507151;Estadual;3.5
1507151;Pública;3.5
1507201;Estadual;4.0
1507201;Pública;4.0
1507300;Estadual;4.0
1507300;Pública;4.0
1507409;Estadual;3.9
1507409;Pública;3.9
1507458;Estadual;4.0
1507458;Pública;4.0
1507466;Estadual;3.7
1507466;Pública;3.7
1507474;Estadual;3.6
1507474;Pública;3.6
1507508;Estadual;3.5
1507508;Pública;3.5
1507607;Estadual;4.3
1507607;Pública;4.3
1507706;Estadual;4.1
1507706;Pública;4.1
1507755;Estadual;4.1
1507755;Pública;4.1
1507805;Estadual;4.1
1507805;Pública;4.1
1507904;Estadual;3.9
1507904;Pública;3.9
1507953;Estadual;4.2
1507953;Pública;4.2
1507961;Estadual;4.0
1507961;Pública;4.0
1507979;Estadual;4.2
1507979;Pública;4.2
1508001;Estadual;4.0
1508001;Pública;4.0
1508035;Estadual;3.7
1508035;Pública;3.7
1508050;Estadual;4.5
1508050;Pública;4.5
1508084;Estadual;4.5
1508084;Pública;4.5
